,Record Year,Job Industry,Job Title,Experience Level,Education Level,Gender,Annual Salary,Monetary Compensation,Total Annual Salary,Age Group,Occupation Country,Occupation City,Race
1330,2021,Government and Public Administration,Marketing & Outreach Coordinator,Senior Level,Master's degree,Female,USD 69000,USD 0,USD 69000,Junior,United States,North Port,White
1332,2021,Business or Consulting,Senior Consultant,Senior Level,College degree,Female,USD 86000,USD 0,USD 86000,Mid Life,United States,Washington D.C.,White
1333,2021,Tech,Community Volunteer Support Lead,Senior Level,College degree,Female,USD 58000,USD 200,USD 58200,Junior,United States,Seattle,White
1334,2021,Nonprofits,Member and Donor Coordinator,Veteran Level,Master's degree,Female,USD 38500,USD 0,USD 38500,Junior,United States,Richmond,White
1335,2021,"Marketing, Advertising & PR",Copywriter,Legendary Level,Master's degree,Female,EUR 43000,EUR 4000,EUR 47000,Mid Life,Germany,Berlin,White
1336,2021,Health care,Physician Assistant ,Experienced Level,Master's degree,Female,USD 90000,USD 0,USD 90000,Junior,United States,Wake Forest,White
1337,2021,Education (Higher Education),Assistant Professor,Senior Level,PhD,Female,USD 74000,USD 0,USD 74000,Junior,United States,Albany,White
1338,2021,Biotech,Husbandry Technician II,Legendary Level,College degree,Female,USD 41000,USD 0,USD 41000,Mid Life,United States,San Diego,White
1339,2021,Business or Consulting,Advisory Analyst ,Entry Level,College degree,Female,USD 40000,USD 4000,USD 44000,Young,United States,San Antonio ,Black or African American
1340,2021,Nonprofits,Associate Policy Principle,Senior Level,Master's degree,Female,USD 104500,USD 0,USD 104500,Junior,United States,"Washington, DC",White
1341,2021,Nonprofits,Strategy Specialist,Senior Level,Master's degree,Female,USD 55000,USD 0,USD 55000,Mid Life,United States,Orlando,White
1343,2021,Computing or Tech,Software Development Manager,Senior Level,Master's degree,Male,USD 250000,USD 850000,USD 1100000,Junior,Australia,Seattle,Other or Prefer not to answer
1345,2021,Computing or Tech,Director Front End Development,Experienced Level,College degree,Female,USD 149000,USD 18000,USD 167000,Junior,United States,DC,White
1346,2021,Nonprofits,Research Manager,Legendary Level,Master's degree,Female,USD 60000,USD 0,USD 60000,Mid Life,United States,Washington,White
1347,2021,Computing or Tech,Software Developer,Expert Level,College degree,Male,CAD 122000,CAD 5200,CAD 127200,Senior,Canada,Toronto,White
1350,2021,Computing or Tech,"Director, Data Management",Experienced Level,College degree,Female,USD 112000,USD 20000,USD 132000,Mid Life,United States,Indianapolis ,White
1351,2021,Health care,R&D Lead Scientist,Legendary Level,PhD,Female,USD 96512,USD 3400,USD 99912,Junior,United States,Salt Lake City,White
1352,2021,Education (Higher Education),Associate Professor,Veteran Level,PhD,Female,USD 75000,USD 0,USD 75000,Experienced,Australia,Philadelphia,White
1353,2021,Nonprofits,Deputy Director,Senior Level,Master's degree,Female,USD 99000,USD 0,USD 99000,Junior,United States,Chicago,Multiracial
1355,2021,"Marketing, Advertising & PR",Social Media Specialist ,Junior Level,College degree,Female,USD 42000,USD 1000,USD 43000,Mid Life,United States,San Antonio,White
1357,2021,Eap,Account Manager ,Experienced Level,College degree,Female,USD 73000,USD 8000,USD 81000,Junior,United States,Chicago,White
1360,2021,Computing or Tech,Product Manager,Legendary Level,Some college,Female,GBP 39000,GBP 0,GBP 39000,Mid Life,United Kingdom,London,Multiracial
1361,2021,Property or Construction,Project Management Intern,Entry Level,Master's degree,Male,USD 35360,USD 0,USD 35360,Young,United States,Houston,White
1362,2021,Education (early childhood),Early childhood educator,Veteran Level,College degree,Female,AUD/NZD 60000,AUD/NZD 0,AUD/NZD 60000,Junior,Australia,Melbourne ,Multiracial
1363,2021,Sales,Customer Care Coordinator,Senior Level,College degree,Female,CAD 55000,CAD 20000,CAD 75000,Experienced,Canada,Calgary,White
1364,2021,Engineering or Manufacturing,Admin / Data Entry,Experienced Level,Some college,Female,CAD 51000,CAD 6000,CAD 57000,Mid Life,Canada,Vancouver,White
1365,2021,Education (Higher Education),Laboratory Technician,Senior Level,Master's degree,Female,CAD 62608,CAD 0,CAD 62608,Junior,Canada,Montreal,White
1367,2021,"Accounting, Banking & Finance",SENIOR ACCOUNTANT ,Senior Level,College degree,Female,USD 50000,USD 2000,USD 52000,Experienced,Australia,Chicago suburbs,White
1369,2021,Health care,Nurse practitioner ,Senior Level,Master's degree,Female,USD 148000,USD 6000,USD 154000,Junior,United States,New Jersey,White
1371,2021,Government and Public Administration,Strategy Adviser,Legendary Level,Master's degree,Female,GBP 40007,GBP 0,GBP 40007,Mid Life,United Kingdom,London,White
1372,2021,"Accounting, Banking & Finance",Technical coordinator trade processing ,Senior Level,College degree,Male,USD 62600,USD 1200,USD 63800,Mid Life,United States,Chicago,Multiracial
1373,2021,Business or Consulting,Senior Business Management Coordinator,Legendary Level,College degree,Female,USD 72500,USD 6000,USD 78500,Mid Life,United States,New York City,White
1374,2021,Education (Higher Education),Lecturer ,Legendary Level,PhD,Female,GBP 38727,GBP 0,GBP 38727,Junior,United Kingdom,Birmingham ,White
1376,2021,Government and Public Administration,Project Manager,Senior Level,Master's degree,Female,USD 77300,USD 0,USD 77300,Junior,Australia,Richmond ,White
1377,2021,Government and Public Administration,Senior analyst,Legendary Level,Master's degree,Female,USD 65000,USD 0,USD 65000,Mid Life,United States,New York,White
1378,2021,"Marketing, Advertising & PR",Marketing Director,Expert Level,Master's degree,Male,USD 158000,USD 30000,USD 188000,Senior,Australia,Chicago,White
1379,2021,Fire protection,Client Service Representative,Experienced Level,College degree,Female,USD 70000,USD 0,USD 70000,Mid Life,United States,Sarasota,White
1381,2021,Environmental Science,Quality Assessment Specialist,Legendary Level,College degree,Female,USD 65000,USD 1000,USD 66000,Mid Life,United States,Cleveland,White
1385,2021,Law,Senior Counsel/ Assistant Vice President,Experienced Level,Master's degree,Female,USD 95600,USD 1500,USD 97100,Junior,United States,Columbus,White
1386,2021,"Music: freelance, performing and education",Freelance violinist,Senior Level,Master's degree,Female,USD 50000,USD 0,USD 50000,Mid Life,United States,Houston area,White
1389,2021,architecture,Project Architect,Experienced Level,College degree,Female,USD 70000,USD 7000,USD 77000,Mid Life,United States,Austin,White
1391,2021,Education (Higher Education),"Coordinator, Student Volunteer Programs",Experienced Level,Master's degree,Female,USD 42500,USD 0,USD 42500,Mid Life,United States,rural college town,White
1393,2021,Media & Digital,Senior Editor,Senior Level,College degree,Non Binary,USD 76000,USD 6000,USD 82000,Junior,United States,Long Island (remote),White
1394,2021,Computing or Tech,"Product Policy Manager, Trust & Safety",Legendary Level,Master's degree,Non Binary,USD 148000,USD 18500,USD 166500,Mid Life,United States,Bay area,White
1395,2021,Education (Higher Education),Environmental Analyst,Senior Level,Master's degree,Female,USD 33280,USD 0,USD 33280,Junior,United States, Rural Florida Panhandle,White
1397,2021,Health care,Director of Business Development,Experienced Level,Master's degree,Female,USD 135000,USD 100000,USD 235000,Mid Life,United States,"Durham, NC",Multiracial
1399,2021,Business or Consulting,Senior Manager,Veteran Level,Master's degree,Female,USD 220000,USD 30000,USD 250000,Experienced,United States,various ,White
1400,2021,Health care,Professional liability claims manager,Veteran Level,Master's degree,Female,USD 125000,USD 0,USD 125000,Experienced,United States,Jacksonville,White
1402,2021,Art & Design,Senior Product Designer,Senior Level,Some college,Female,USD 150000,USD 7500,USD 157500,Junior,United States,San Francisco,Multiracial
1405,2021,Nonprofits,Archives assistant,Senior Level,College degree,Female,USD 24000,USD 0,USD 24000,Junior,United States,Houston,White
1406,2021,Business or Consulting,Senior Consultant,Experienced Level,Master's degree,Male,USD 94000,USD 0,USD 94000,Mid Life,United States,Alexandria,Multiracial
1407,2021,Insurance,Financial Analyst,Experienced Level,Master's degree,Female,USD 65000,USD 4000,USD 69000,Junior,United States,Chicago,White
1408,2021,"Marketing, Advertising & PR",Senior Marketing Coordinator,Junior Level,College degree,Female,USD 65000,USD 5000,USD 70000,Mid Life,United States,"Portland, OR",Asian or Asian American
1412,2021,Hospitality & Events,Event Coordinator Manager,Senior Level,College degree,Female,USD 58240,USD 2000,USD 60240,Junior,United States,San Deigo,White
1413,2021,"Accounting, Banking & Finance",Compliance Associate,Veteran Level,High School,Female,USD 74000,USD 7000,USD 81000,Experienced,United States,Full time remote employee (prior to pandemic),Multiracial
1414,2021,Computing or Tech,Customer Success Manager,Experienced Level,Some college,Female,USD 69000,USD 10000,USD 79000,Mid Life,United States,Beaverton,White
1415,2021,Media & Digital,Deputy managing editor,Senior Level,Master's degree,Female,USD 78000,USD 4000,USD 82000,Mid Life,France,Paris,White
1416,2021,Engineering or Manufacturing,Principal Product Analyst,Veteran Level,Master's degree,Female,USD 121000,USD 18000,USD 139000,Junior,United States,Minneapolis ,White
1417,2021,Property or Construction,Database Administrator,Senior Level,College degree,Male,USD 115000,USD 4000,USD 119000,Experienced,Australia,St. Louis,White
1418,2021,Engineering or Manufacturing,Buyer II,Senior Level,High School,Female,USD 50000,USD 2000,USD 52000,Junior,United States,Elkton,White
1419,2021,Nonprofits,Development Associate,Junior Level,Master's degree,Female,USD 64000,USD 0,USD 64000,Mid Life,Australia,dc,White
1420,2021,Nonprofits,Policy Director,Experienced Level,Master's degree,Female,USD 70000,USD 0,USD 70000,Junior,United States,District of Columbia,White
1421,2021,Insurance,CSR,Legendary Level,College degree,Female,USD 47840,USD 7000,USD 54840,Mid Life,United States,Puget Sound Region,White
1422,2021,Education (Higher Education),Director of Development ,Legendary Level,PhD,Female,USD 110000,USD 0,USD 110000,Junior,United States,Cambridge,White
1423,2021,Education (Primary/Secondary),SPED teacher,Legendary Level,College degree,Female,USD 53000,USD 1500,USD 54500,Mid Life,United States,Alvarado,White
1424,2021,Computing or Tech,Software and Database Engineer,Expert Level,Master's degree,Male,USD 112000,USD 0,USD 112000,Experienced,United States,Alexandria,Black or African American
1425,2021,Education (Higher Education),Head of Library Collections,Veteran Level,Master's degree,Female,USD 93000,USD 0,USD 93000,Experienced,United States,No,White
1426,2021,Utilities & Telecommunications,Channel Development Manager,Experienced Level,Some college,Female,CAD 85000,CAD 1500,CAD 86500,Mid Life,Canada,Winnipeg,White
1427,2021,Business or Consulting,Office Manager,Expert Level,Master's degree,Female,USD 60000,USD 5000,USD 65000,Senior,United States,Hillsborough,White
1428,2021,Engineering or Manufacturing,HR Coordinator,Experienced Level,Master's degree,Female,USD 36000,USD 600,USD 36600,Mid Life,United States,Lancaster,White
1429,2021,Education (Primary/Secondary),teacher,Veteran Level,Master's degree,Female,USD 56000,USD 0,USD 56000,Experienced,Australia,Mascoutah,White
1430,2021,Utilities & Telecommunications,Analytics Specialist,Senior Level,Master's degree,Female,CAD 112500,CAD 20000,CAD 132500,Junior,Canada,Calgary,White
1431,2021,Government and Public Administration,Head of water & environment department,Legendary Level,Master's degree,Female,EUR 45000,EUR 800,EUR 45800,Mid Life,France,Orléans,White
1432,2021,Oil & Gas,Pension Administrator,Experienced Level,College degree,Female,USD 82000,USD 8200,USD 90200,Mid Life,United States,Tulsa,White
1436,2021,Insurance,Commercial Lines Account Manager ,Expert Level,Some college,Female,USD 64200,USD 0,USD 64200,Senior,Australia,Georgetown ,White
1437,2021,Government and Public Administration,Program Examiner,Legendary Level,Master's degree,Female,USD 103690,USD 0,USD 103690,Mid Life,United States,Washington,White
1438,2021,"Marketing, Advertising & PR",Solutions Specialist,Senior Level,College degree,Female,USD 81000,USD 2000,USD 83000,Junior,United States,Detroit,White
1439,2021,Health care,Audiologist/President,Veteran Level,PhD,Female,USD 75000,USD 20000,USD 95000,Junior,United States,Lafayette,White
1441,2021,Computing or Tech,Software Architect,Senior Level,College degree,Male,USD 120000,USD 0,USD 120000,Junior,United States,Cleveland,White
1442,2021,Computing or Tech,Product Manager,Senior Level,Some college,Male,USD 107900,USD 3300,USD 111200,Junior,United States,Washington,White
1443,2021,Nonprofits,Administrative Services Manager,Senior Level,College degree,Female,USD 65000,USD 1300,USD 66300,Junior,United States,San Antonio ,White
1445,2021,Computing or Tech,Desktop Support,Senior Level,College degree,Male,USD 64000,USD 5000,USD 69000,Junior,United States,Stratham,White
1446,2021,Nonprofits,Program Manager,Junior Level,College degree,Female,USD 36000,USD 0,USD 36000,Mid Life,United States,Philadelphia,White
1447,2021,Computing or Tech,Product Manager,Legendary Level,College degree,Female,USD 125000,USD 17500,USD 142500,Mid Life,United States,Chicago,White
1448,2021,Sales,Project Coordinator,Senior Level,College degree,Female,USD 50000,USD 0,USD 50000,Junior,United States,Milwaukee,White
1449,2021,Business or Consulting,Design Lead,Veteran Level,Some college,Female,ZAR 1150000,ZAR 0,ZAR 1150000,Experienced,South Africa,Johannesburg,White
1450,2021,Transport or Logistics,Senior Program Manager,Experienced Level,Master's degree,Female,USD 135000,USD 40000,USD 175000,Mid Life,United States,Seattle,White
1451,2021,Computing or Tech,Senior Linguist,Experienced Level,Master's degree,Female,USD 85116,USD 8511,USD 93627,Mid Life,United States,Detroit,White
1452,2021,"Accounting, Banking & Finance",Administrative Manager,Senior Level,College degree,Female,USD 95000,USD 0,USD 95000,Junior,United States,Metro NYC,White
1453,2021,Computing or Tech,"Senior Director, Brand Marketing",Expert Level,College degree,Female,USD 190000,USD 0,USD 190000,Senior,United States,Burlington,White
1455,2021,International Development,Media and Data Analyst ,Junior Level,College degree,Female,USD 60000,USD 1500,USD 61500,Mid Life,United States,"Washington, DC",White
1456,2021,Computing or Tech,Manager of Front End Engineering,Senior Level,College degree,Female,USD 120000,USD 9000,USD 129000,Junior,Australia,"Pittsburgh, PA",White
1457,2021,Interior Design & Architecture,Office Administrator,Veteran Level,Some college,Female,CAD 59000,CAD 4500,CAD 63500,Experienced,Canada,Vancouver,White
1459,2021,Engineering or Manufacturing,Mechanical Engineer ,Junior Level,College degree,Female,USD 66990,USD 1500,USD 68490,Young,United States,Virginia Beach,White
1460,2021,Art & Design,Junior Graphic Designer ,Junior Level,College degree,Female,USD 38000,USD 0,USD 38000,Young,United States,Chicago ,Multiracial
1461,2021,Pharma/Biotech,QA Manager,Senior Level,Master's degree,Female,USD 128000,USD 65000,USD 193000,Junior,United States,Boston,White
1463,2021,Education (Primary/Secondary),Teacher,Senior Level,Master's degree,Male,USD 54389,USD 0,USD 54389,Junior,United States,Portage,White
1464,2021,Social Work,Salesforce (CRM) Administrator,Senior Level,PhD,Female,USD 84300,USD 0,USD 84300,Junior,United States,San Jose,White
1465,2021,Government and Public Administration,Public librarian,Senior Level,Master's degree,Female,USD 43000,USD 0,USD 43000,Mid Life,United States,Melbourne ,White
1466,2021,Computing or Tech,Content Marketer,Legendary Level,Master's degree,Male,EUR 33500,EUR 2000,EUR 35500,Mid Life,Belgium,Leuven,White
1467,2021,Business or Consulting,Operations Manager,Legendary Level,College degree,Female,USD 77250,USD 7725,USD 84975,Mid Life,United States,Arlington,White
1468,2021,Computing or Tech,Technical Product Manager,Legendary Level,College degree,Female,USD 95000,USD 0,USD 95000,Mid Life,United States,New York,White
1469,2021,Government and Public Administration,Fiscal Analyst,Experienced Level,Master's degree,Female,USD 73000,USD 0,USD 73000,Mid Life,United States,Lansing,White
1470,2021,Health care,Staff RN,Senior Level,College degree,Female,USD 104000,USD 0,USD 104000,Junior,United States,Rochester ,White
1471,2021,"Marketing, Advertising & PR",Marketing Executive,Senior Level,College degree,Female,GBP 35000,GBP 0,GBP 35000,Junior,Ireland,Belfast,White
1472,2021,Law,Associate,Legendary Level,College degree,Female,GBP 65000,GBP 5000,GBP 70000,Mid Life,United Kingdom,London,Other or Prefer not to answer
1474,2021,"Accounting, Banking & Finance",Account Administrator ,Senior Level,College degree,Female,USD 34840,USD 700,USD 35540,Junior,United States,Billings,White
1475,2021,Engineering or Manufacturing,Process Engineer,Legendary Level,College degree,Female,USD 75000,USD 10000,USD 85000,Junior,United States,Chandler,White
1477,2021,Computing or Tech,Senior Researcher,Experienced Level,PhD,Male,USD 168000,USD 50000,USD 218000,Mid Life,United States,Cambridge,Asian or Asian American
1478,2021,Government and Public Administration,Director of Communications,Experienced Level,Master's degree,Male,USD 102000,USD 0,USD 102000,Mid Life,United States,Jacksonville,White
1479,2021,Law,Legal Assistant,Legendary Level,Some college,Female,USD 45000,USD 8000,USD 53000,Mid Life,United States,Louisville,White
1480,2021,Academic/nonprofit research,Database Specialist,Entry Level,College degree,Female,USD 37440,USD 0,USD 37440,Young,United States,"NA (remote). Live near Boston, work is based in upstate NY",White
1481,2021,Computing or Tech,Senior Product Manager,Senior Level,College degree,Female,USD 115000,USD 20000,USD 135000,Junior,United States,Raleigh,White
1484,2021,Hospitality & Events,Project Manager,Senior Level,Master's degree,Female,USD 155000,USD 1000,USD 156000,Junior,Australia,Atlanta,Black or African American
1485,2021,"Accounting, Banking & Finance",BSA/AML/OFAC Admin,Experienced Level,Some college,Female,USD 35000,USD 0,USD 35000,Junior,United States,El Paso,Multiracial
1486,2021,Synthetic Chemical Manufacturing,Information Senior Scientist,Senior Level,Master's degree,Female,USD 103000,USD 5000,USD 108000,Junior,United States,Wilmington,Other or Prefer not to answer
1487,2021,Education (Higher Education),Assistant Professor,Legendary Level,PhD,Female,CAD 114000,CAD 2000,CAD 116000,Mid Life,Canada,Charlottetown,White
1488,2021,Transport or Logistics,Region Vice President ,Senior Level,College degree,Female,USD 175000,USD 30000,USD 205000,Junior,United States,Atlanta,White
1489,2021,Nonprofits,Records Coordinator/Auditor,Expert Level,College degree,Female,USD 50000,USD 0,USD 50000,Senior,United States,Syracuse,White
1491,2021,Social Work,Clinical Case Manager ,Legendary Level,Master's degree,Female,USD 54000,USD 0,USD 54000,Mid Life,United States,Austin,White
1492,2021,"Accounting, Banking & Finance",Sr Data Analyst,Experienced Level,College degree,Female,USD 64000,USD 2100,USD 66100,Mid Life,Australia,Buffalo,White
1493,2021,Nonprofits,Education Advisor,Experienced Level,Master's degree,Female,CAD 78000,CAD 0,CAD 78000,Mid Life,Canada,"Ottawa, Ontario",White
1494,2021,Law,Assistant Attorney General,Experienced Level,PhD,Female,USD 93000,USD 0,USD 93000,Mid Life,United States,"Detroit, MI",White
1495,2021,Business or Consulting,Research Analyst,Senior Level,Master's degree,Female,USD 100000,USD 12000,USD 112000,Junior,United States,Boston,Multiracial
1496,2021,Law,Shareholder,Senior Level,Master's degree,Female,USD 160000,USD 45000,USD 205000,Junior,United States,Milwaukee,White
1497,2021,Retail,Floor Manager,Legendary Level,Some college,Female,USD 55000,USD 10000,USD 65000,Young,United States,Los Angeles,White
1498,2021,Education (Higher Education),Senior Associate Director,Veteran Level,Master's degree,Female,USD 110000,USD 0,USD 110000,Experienced,United States,Boston,White
1499,2021,Library (its a non-profit and its a govt job - how would I list that? Not all libraries are govt jobs),Library Assistant,Experienced Level,Master's degree,Female,USD 41394,USD 0,USD 41394,Senior,United States,Boca Raton ,White
1500,2021,Engineering or Manufacturing,Supply Network Planner,Senior Level,College degree,Female,USD 89000,USD 0,USD 89000,Junior,United States,Saint Paul,White
1501,2021,Business or Consulting,Digital Project Manager,Senior Level,College degree,Female,USD 55000,USD 250,USD 55250,Junior,United States,New York,White
1502,2021,publishing,senior production coordinator,Senior Level,Master's degree,Female,USD 58350,USD 0,USD 58350,Junior,United States,Boston,White
1503,2021,Education (Primary/Secondary),Registrar,Senior Level,College degree,Female,USD 54000,USD 0,USD 54000,Senior,United States,Boston suburbs,White
1504,2021,Government and Public Administration,Learning Specialist ,Senior Level,College degree,Female,CAD 85000,CAD 0,CAD 85000,Junior,Canada,Ottawa,White
1505,2021,Government and Public Administration,Economist,Legendary Level,Master's degree,Female,USD 107146,USD 2500,USD 109646,Mid Life,United States,Washington,White
1508,2021,Law,Director of Delivery,Senior Level,Master's degree,Female,USD 90000,USD 18000,USD 108000,Junior,United States,Washington,White
1509,2021,Hospitality & Events,Head baker,Senior Level,College degree,Female,USD 38000,USD 2500,USD 40500,Mid Life,United States,Providence,White
1510,2021,Utilities & Telecommunications,Project Manager,Veteran Level,College degree,Female,GBP 65000,GBP 8000,GBP 73000,Experienced,United Kingdom,Slough,White
1511,2021,Nonprofits,Research Fellow,Senior Level,Master's degree,Female,USD 64000,USD 1500,USD 65500,Mid Life,United States,Cleveland,White
1512,2021,Government and Public Administration,Governance Manager ,Veteran Level,Master's degree,Female,GBP 37000,GBP 500,GBP 37500,Junior,United Kingdom,Birmingham,White
1514,2021,Government and Public Administration,Deputy Director ,Experienced Level,Master's degree,Female,USD 150000,USD 0,USD 150000,Mid Life,United States,Sacramento,White
1516,2021,Law,Legal assistant,Experienced Level,Some college,Female,CAD 46000,CAD 2000,CAD 48000,Mid Life,Canada,Hamilton,White
1517,2021,Nonprofits,Client Service Advocate,Legendary Level,Master's degree,Non Binary,USD 36500,USD 0,USD 36500,Mid Life,United States,N/a,White
1518,2021,"Accounting, Banking & Finance","Manager, Procurement Operations",Senior Level,Some college,Female,USD 113400,USD 12000,USD 125400,Junior,United States,San Francisco,Multiracial
1519,2021,Education (Higher Education),Research Integrity Officer,Legendary Level,PhD,Female,GBP 31170,GBP 0,GBP 31170,Mid Life,United Kingdom,Birmingham,White
1521,2021,Real estate services,Title Review Attorney,Experienced Level,Master's degree,Female,USD 47500,USD 3000,USD 50500,Mid Life,United States,Bowling Green,White
1522,2021,"Accounting, Banking & Finance",Human Resources Manager,Legendary Level,Master's degree,Female,USD 91500,USD 9500,USD 101000,Retired,United States,Muskego,White
1524,2021,Government and Public Administration,Senior HRIS Analyst,Experienced Level,Master's degree,Female,USD 103000,USD 0,USD 103000,Junior,United States,Seattle,White
1525,2021,"Accounting, Banking & Finance",Senior Business Analyst,Experienced Level,College degree,Female,CAD 70000,CAD 10000,CAD 80000,Mid Life,Canada,Toronto,White
1526,2021,Health care,Audiologist ,Legendary Level,PhD,Female,USD 82500,USD 7000,USD 89500,Mid Life,United States,Albuquerque ,White
1528,2021,Health care,Outpatient hospital social worker,Veteran Level,Master's degree,Female,USD 85000,USD 0,USD 85000,Experienced,United States,Boston,White
1529,2021,Law,Law Firm Administrator,Expert Level,Some college,Female,USD 90000,USD 7500,USD 97500,Senior,United States,Fresno,White
1530,2021,Utilities & Telecommunications,Executive Assistant to the CEO,Senior Level,College degree,Female,USD 71000,USD 6500,USD 77500,Junior,United States,Indianapolis,White
1531,2021,Health care,Sr. Communications Specialist,Senior Level,College degree,Female,USD 85000,USD 2000,USD 87000,Junior,United States,Los Angeles,Multiracial
1533,2021,Art & Design,graphic designer,Experienced Level,College degree,Female,USD 45000,USD 2000,USD 47000,Mid Life,United States,Hartford,White
1534,2021,Engineering or Manufacturing,Aerospace engineer,Experienced Level,Master's degree,Male,USD 95000,USD 10000,USD 105000,Mid Life,United States,Washington DC,White
1535,2021,Health care,Customer Solutions Manager,Senior Level,Master's degree,Female,CAD 100000,CAD 5000,CAD 105000,Junior,Canada,"Toronto, Ontario",White
1536,2021,Law,Associate Attorney,Senior Level,PhD,Female,USD 60000,USD 2000,USD 62000,Junior,United States,Kansas City,White
1537,2021,Education (Higher Education),Assistant Controller,Veteran Level,College degree,Female,USD 74000,USD 0,USD 74000,Junior,United States,Prefer not to answer,White
1538,2021,Automotive finance and insurance,Marketing communications manager,Senior Level,College degree,Female,USD 87500,USD 2000,USD 89500,Junior,Australia,Norcross,White
1539,2021,Health care,Pharmacist,Experienced Level,Master's degree,Female,USD 143520,USD 9000,USD 152520,Mid Life,United States,Boston,Asian or Asian American
1540,2021,Media & Digital,Associate Publicity DIrector,Senior Level,College degree,Female,USD 94000,USD 3000,USD 97000,Junior,United States,New York,White
1541,2021,Engineering or Manufacturing,Database Analyst,Veteran Level,Master's degree,Female,USD 67500,USD 5000,USD 72500,Junior,United States,Portland,White
1542,2021,Government and Public Administration,Program Director,Senior Level,Master's degree,Female,USD 93583,USD 0,USD 93583,Mid Life,Australia,Boston,White
1545,2021,Social Work,Employment and Income Assistance Case Counsellor,Senior Level,College degree,Female,CAD 52000,CAD 0,CAD 52000,Mid Life,Canada,"Steinbach, Manitoba",White
1546,2021,Property or Construction,Project Manager,Senior Level,College degree,Female,USD 63000,USD 10000,USD 73000,Junior,United States,Madison,White
1547,2021,Government and Public Administration,Attorney,Senior Level,PhD,Female,USD 130000,USD 2500,USD 132500,Junior,United States,Peoria,White
1548,2021,Nonprofits,Program Coordinator,Legendary Level,Master's degree,Female,USD 50000,USD 1550,USD 51550,Mid Life,United States,New York ,Multiracial
1549,2021,Hospitality & Events,Sr. Manager - Digital Marketing,Experienced Level,College degree,Female,USD 82000,USD 5000,USD 87000,Mid Life,United States,Irvine,Multiracial
1550,2021,Nonprofits,Development Associate,Junior Level,College degree,Female,USD 51000,USD 8000,USD 59000,Mid Life,United States,Boston,White
1552,2021,Nonprofits,Managing Editor,Experienced Level,College degree,Female,USD 64500,USD 0,USD 64500,Mid Life,United States,Durham,White
1553,2021,Nonprofits,Program Manager,Legendary Level,Master's degree,Female,CAD 59800,CAD 2000,CAD 61800,Mid Life,Canada,BC,White
1554,2021,Media & Digital,Associate Social Producer,Legendary Level,College degree,Female,USD 58000,USD 0,USD 58000,Mid Life,United States,Remote but NYC,White
1555,2021,Nonprofits,Production Specialist,Senior Level,College degree,Female,USD 87000,USD 6000,USD 93000,Mid Life,United States,Boston,White
1556,2021,Computing or Tech,Conversion Manager,Senior Level,High School,Other,USD 125000,USD 36000,USD 161000,Junior,United States,Merced,Multiracial
1557,2021,Nonprofits,Member Data Specialist,Junior Level,College degree,Female,USD 38000,USD 0,USD 38000,Mid Life,United States,Tulsa,White
1558,2021,Nonprofits,Fundraising Manager ,Senior Level,Master's degree,Female,GBP 36200,GBP 0,GBP 36200,Mid Life,United Kingdom,London,White
1559,2021,Computing or Tech,Sr Product Manager,Senior Level,Master's degree,Male,USD 183000,USD 30000,USD 213000,Experienced,United States,Chicago,White
1560,2021,Media & Digital,Senior director of project managment,Veteran Level,Master's degree,Female,USD 104000,USD 25000,USD 129000,Experienced,United States,San Jose,White
1561,2021,Business or Consulting,Lead designer,Expert Level,College degree,Female,USD 65000,USD 0,USD 65000,Senior,Australia,Providence,White
1562,2021,Nonprofits,Programme Manager,Experienced Level,College degree,Female,EUR 47000,EUR 0,EUR 47000,Mid Life,Ireland,Dublin,White
1563,2021,Computing or Tech,Instructional Designer,Senior Level,Master's degree,Female,USD 81000,USD 0,USD 81000,Junior,United States,Denver ,Multiracial
1564,2021,Gambling,Commercial Finance Analyst,Senior Level,College degree,Female,USD 66820,USD 6682,USD 73502,Mid Life,United States,Chicago,White
1565,2021,Education (Higher Education),Assistant Professor,Senior Level,PhD,Female,CAD 117000,CAD 0,CAD 117000,Junior,Canada,"Kelowna, BC",White
1567,2021,Engineering or Manufacturing,Operations Specialist,Veteran Level,College degree,Male,USD 46000,USD 3000,USD 49000,Experienced,United States,Kalamazoo,Multiracial
1568,2021,Education (Higher Education),Associate Director,Senior Level,Master's degree,Female,USD 60000,USD 15,USD 60015,Junior,United States,White Plains,White
1569,2021,Museums: Nonprofit,Digitization Specialist,Experienced Level,Master's degree,Female,USD 42000,USD 450,USD 42450,Mid Life,United States,Kansas City,White
1570,2021,Public Library,Customer Service Assistant,Junior Level,College degree,Female,CAD 47000,CAD 0,CAD 47000,Mid Life,Canada,Brockville,White
1571,2021,Business or Consulting,Service Manager,Senior Level,Master's degree,Male,USD 130000,USD 12000,USD 142000,Junior,United States,Boston,White
1574,2021,"Marketing, Advertising & PR",Content Manager & Copywriter,Experienced Level,Master's degree,Female,USD 62000,USD 0,USD 62000,Mid Life,United States,Burlington,White
1575,2021,Pharma,Senior Medical Writer I,Veteran Level,Master's degree,Female,USD 135000,USD 0,USD 135000,Experienced,Australia,Madison,Multiracial
1576,2021,Health care,Program Manager,Experienced Level,PhD,Female,CAD 84000,CAD 0,CAD 84000,Junior,Canada,Toronto,White
1577,2021,Business or Consulting,Instructional Designer,Experienced Level,College degree,Female,USD 70000,USD 3000,USD 73000,Mid Life,United States,Minneapolis,White
